"","sample","probe","value","type"
"63","TCGA-OR-A5JO-01","ESTIMATEScore.estimate",2112.5031595793,"estimate"
"64","TCGA-OR-A5JP-01","StromalScore.estimate",-833.773786681361,"estimate"
"65","TCGA-OR-A5JP-01","ImmuneScore.estimate",-1109.20085784393,"estimate"
"66","TCGA-OR-A5JP-01","ESTIMATEScore.estimate",-1942.97464452529,"estimate"
"67","TCGA-OR-A5JQ-01","StromalScore.estimate",-233.992758915881,"estimate"
"68","TCGA-OR-A5JQ-01","ImmuneScore.estimate",137.164469105033,"estimate"
"69","TCGA-OR-A5JQ-01","ESTIMATEScore.estimate",-96.8282898108484,"estimate"
"70","TCGA-OR-A5JR-01","StromalScore.estimate",-989.9093441688,"estimate"
"71","TCGA-OR-A5JR-01","ImmuneScore.estimate",-272.692896627045,"estimate"
"72","TCGA-OR-A5JR-01","ESTIMATEScore.estimate",-1262.60224079584,"estimate"
"73","TCGA-OR-A5JS-01","StromalScore.estimate",-1441.9510774479,"estimate"
"74","TCGA-OR-A5JS-01","ImmuneScore.estimate",-1031.27443353148,"estimate"
"75","TCGA-OR-A5JS-01","ESTIMATEScore.estimate",-2473.22551097939,"estimate"
"76","TCGA-OR-A5JT-01","StromalScore.estimate",-1140.52849847712,"estimate"
"77","TCGA-OR-A5JT-01","ImmuneScore.estimate",-694.568662692992,"estimate"
"78","TCGA-OR-A5JT-01","ESTIMATEScore.estimate",-1835.09716117011,"estimate"
"79","TCGA-OR-A5JV-01","StromalScore.estimate",-213.454458926478,"estimate"
"80","TCGA-OR-A5JV-01","ImmuneScore.estimate",1118.90983074186,"estimate"
"81","TCGA-OR-A5JV-01","ESTIMATEScore.estimate",905.455371815385,"estimate"
"82","TCGA-OR-A5JW-01","StromalScore.estimate",-1105.671006154,"estimate"
"83","TCGA-OR-A5JW-01","ImmuneScore.estimate",-710.29325237547,"estimate"
"84","TCGA-OR-A5JW-01","ESTIMATEScore.estimate",-1815.96425852948,"estimate"
"85","TCGA-OR-A5JX-01","StromalScore.estimate",-913.991791475634,"estimate"
"86","TCGA-OR-A5JX-01","ImmuneScore.estimate",-576.830967698078,"estimate"
"87","TCGA-OR-A5JX-01","ESTIMATEScore.estimate",-1490.82275917371,"estimate"
"88","TCGA-OR-A5JY-01","StromalScore.estimate",-1044.45108686687,"estimate"
"89","TCGA-OR-A5JY-01","ImmuneScore.estimate",-342.698163613229,"estimate"
"90","TCGA-OR-A5JY-01","ESTIMATEScore.estimate",-1387.14925048009,"estimate"
"91","TCGA-OR-A5JZ-01","StromalScore.estimate",-955.679591671617,"estimate"
"92","TCGA-OR-A5JZ-01","ImmuneScore.estimate",-361.367337075901,"estimate"
"93","TCGA-OR-A5JZ-01","ESTIMATEScore.estimate",-1317.04692874752,"estimate"
"94","TCGA-OR-A5K0-01","StromalScore.estimate",-1535.0738978387,"estimate"
"95","TCGA-OR-A5K0-01","ImmuneScore.estimate",-914.537231961511,"estimate"
"96","TCGA-OR-A5K0-01","ESTIMATEScore.estimate",-2449.61112980022,"estimate"
"97","TCGA-OR-A5K1-01","StromalScore.estimate",-748.436678037996,"estimate"
"98","TCGA-OR-A5K1-01","ImmuneScore.estimate",-305.004887549432,"estimate"
"99","TCGA-OR-A5K1-01","ESTIMATEScore.estimate",-1053.44156558743,"estimate"
"100","TCGA-OR-A5K2-01","StromalScore.estimate",-1036.27617485608,"estimate"
"101","TCGA-OR-A5K2-01","ImmuneScore.estimate",-588.134586257294,"estimate"
"102","TCGA-OR-A5K2-01","ESTIMATEScore.estimate",-1624.41076111338,"estimate"
"103","TCGA-OR-A5K3-01","StromalScore.estimate",-1079.94186890593,"estimate"
"104","TCGA-OR-A5K3-01","ImmuneScore.estimate",-203.202697616819,"estimate"
"105","TCGA-OR-A5K3-01","ESTIMATEScore.estimate",-1283.14456652275,"estimate"
"106","TCGA-OR-A5K4-01","StromalScore.estimate",-1766.29538497572,"estimate"
"107","TCGA-OR-A5K4-01","ImmuneScore.estimate",-1180.70785926737,"estimate"
"108","TCGA-OR-A5K4-01","ESTIMATEScore.estimate",-2947.00324424309,"estimate"
"109","TCGA-OR-A5K5-01","StromalScore.estimate",-1334.36150472253,"estimate"
"110","TCGA-OR-A5K5-01","ImmuneScore.estimate",-976.479396308082,"estimate"
"111","TCGA-OR-A5K5-01","ESTIMATEScore.estimate",-2310.84090103062,"estimate"
"112","TCGA-OR-A5K6-01","StromalScore.estimate",-1009.32486375716,"estimate"
"113","TCGA-OR-A5K6-01","ImmuneScore.estimate",-440.0969064022,"estimate"
"114","TCGA-OR-A5K6-01","ESTIMATEScore.estimate",-1449.42177015936,"estimate"
"115","TCGA-OR-A5K8-01","StromalScore.estimate",-1242.12543626248,"estimate"
"116","TCGA-OR-A5K8-01","ImmuneScore.estimate",-768.702801756631,"estimate"
"117","TCGA-OR-A5K8-01","ESTIMATEScore.estimate",-2010.82823801911,"estimate"
"118","TCGA-OR-A5K9-01","StromalScore.estimate",-1050.59587171248,"estimate"
"119","TCGA-OR-A5K9-01","ImmuneScore.estimate",-1133.8103715051,"estimate"
"120","TCGA-OR-A5K9-01","ESTIMATEScore.estimate",-2184.40624321758,"estimate"
"121","TCGA-OR-A5KO-01","StromalScore.estimate",-1481.21049203338,"estimate"
"122","TCGA-OR-A5KO-01","ImmuneScore.estimate",-1365.44966353657,"estimate"
"123","TCGA-OR-A5KO-01","ESTIMATEScore.estimate",-2846.66015556995,"estimate"
"124","TCGA-OR-A5KT-01","StromalScore.estimate",287.928070951979,"estimate"
"125","TCGA-OR-A5KT-01","ImmuneScore.estimate",633.419569925179,"estimate"
"126","TCGA-OR-A5KT-01","ESTIMATEScore.estimate",921.347640877158,"estimate"
"127","TCGA-OR-A5KU-01","StromalScore.estimate",-1013.76516570079,"estimate"
"128","TCGA-OR-A5KU-01","ImmuneScore.estimate",-1180.65578290539,"estimate"
"129","TCGA-OR-A5KU-01","ESTIMATEScore.estimate",-2194.42094860618,"estimate"
"130","TCGA-OR-A5KV-01","StromalScore.estimate",-1490.83151474968,"estimate"
"131","TCGA-OR-A5KV-01","ImmuneScore.estimate",-1466.68576874927,"estimate"
"132","TCGA-OR-A5KV-01","ESTIMATEScore.estimate",-2957.51728349894,"estimate"
"133","TCGA-OR-A5KW-01","StromalScore.estimate",-1041.03392000494,"estimate"
"134","TCGA-OR-A5KW-01","ImmuneScore.estimate",-1217.82655874558,"estimate"
"135","TCGA-OR-A5KW-01","ESTIMATEScore.estimate",-2258.86047875052,"estimate"
"136","TCGA-OR-A5KX-01","StromalScore.estimate",-1370.9849206776,"estimate"
"137","TCGA-OR-A5KX-01","ImmuneScore.estimate",-772.20599999762,"estimate"
"138","TCGA-OR-A5KX-01","ESTIMATEScore.estimate",-2143.19092067522,"estimate"
"139","TCGA-OR-A5KY-01","StromalScore.estimate",-595.225505803486,"estimate"
